year,huc8,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
2004,18020104,2405760.45520895,2404787.144103818,973.311105132103,2405658.89270895,2404685.581603818,973.311105132103,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1673502.483962536,1672679.316581249,823.1673812866211,1673400.921462536,1672577.754081249,823.1673812866211,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2005,18020104,2167181.555416755,2166801.41169291,380.1437238454819,2171171.430416755,2170785.28669291,386.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1434923.521732092,1434693.521732092,230,1438913.459232092,1438677.459232092,236,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2006,18020104,2182652.417451076,2182258.711257748,393.7061933279037,2186331.854951076,2185934.148757748,397.7061933279037,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1450394.383765936,1450150.821296453,243.5624694824219,1454073.883765936,1453826.321296453,247.5624694824219,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2007,18020104,2343589.294266991,2343149.150543146,440.1437238454819,2335977.606766991,2335546.463043146,431.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1611331.323081613,1611041.323081613,290,1603719.635581613,1603438.635581613,281,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2008,18020104,2294982.655720048,2294613.511996202,369.1437238454819,2301943.218220048,2301567.074496202,376.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1562724.684534669,1562505.684534669,219,1569685.247034669,1569459.247034669,226,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.86338419,.86338842,.83699089,,,.81213909,.75
2009,18020104,2179967.679034762,2179634.535310917,333.1437238454819,2173047.741534762,2172720.597810917,327.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1447709.707849383,1447526.707849383,183,1440789.707849383,1440612.707849383,177,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.86338419,.86338842,.83699089,,,.81213909,.75
2010,18020104,2146499.976615719,2146165.832891874,334.1437238454819,2148797.601615719,2148460.457891874,337.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1414242.005430341,1414058.005430341,184,1416539.630430341,1416352.630430341,187,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2011,18020104,2148357.868083887,2148016.724360041,341.1437238454819,2158947.680583887,2158590.536860041,357.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1416099.896899223,1415908.896899223,191,1426689.709399223,1426482.709399223,207,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2012,18020104,2241026.357742481,2240634.214018635,392.1437238454819,2233666.295242481,2233284.151518635,382.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1508768.324089766,1508526.324089766,242,1501408.324089766,1501176.324089766,232,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2013,18020104,2404505.145836644,2404091.002112798,414.1437238454819,2411215.270836644,2410798.127112798,417.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1672247.174653172,1671983.174653172,264,1678957.299653172,1678690.299653172,267,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.9430877,.94307852,1,,,.92172462,1
2014,18020104,1821426.001468353,1821157.857744507,268.1437238454819,1810135.501468353,1809881.357744507,254.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1089168.030283928,1089050.030283928,118,1077877.530283928,1077773.530283928,104,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.64744103,.64743668,.67398179,,,.51517385,.5
2015,18020104,1718096.058938436,1717867.915214591,228.1437238454819,1718270.433938436,1718041.290214591,229.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,985838.0565040112,985760.0565040112,78,986012.4627540112,985933.4627540112,79,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.64741474,.64743668,.51097268,,,.51517385,.25
2016,18020104,2150564.92061048,2150222.776886635,342.1437238454819,2149289.92061048,2148950.776886635,339.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1418306.886787772,1418114.886787772,192,1417031.886787772,1416842.886787772,189,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2017,18020104,2083897.061221413,2083539.917497568,357.1437238454819,2094159.873721413,2093791.729997568,368.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1351639.089918494,1351432.089918494,207,1361901.902418494,1361683.902418494,218,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2018,18020104,2143991.893124156,2143623.74940031,368.1437238454819,2133632.080624156,2133273.93690031,358.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1411733.921938777,1411515.921938777,218,1401374.046938777,1401166.046938777,208,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2019,18020104,2062745.498340182,2062409.354616337,336.1437238454819,2068427.373340182,2068085.229616337,342.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1330487.464665055,1330301.464665055,186,1336169.339665055,1335977.339665055,192,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,1,1,1,,,1,1
2020,18020104,2151947.958988123,2151594.815264277,353.1437238454819,2155482.208988123,2155127.065264277,355.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,1419689.925180674,1419486.925180674,203,1423224.237680674,1423019.237680674,205,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.88614917,.88615704,.83699089,,,.84344923,.75
2021,18020104,1727878.527719192,1727617.383995347,261.1437238454819,1718477.340219192,1718225.196495347,252.1437238454819,2684065.238059096,2683633.745336227,431.4926858842373,0,0,0,0,0,0,0,0,0,995620.4940350056,995509.4940350056,111,986219.3690350056,986117.3690350056,102,1951807.204434752,1951525.855435729,281.3489620387554,0,0,0,0,0,0,732257.9946224019,732107.8508985564,150.1437238454819,.64741474,.64743668,.51097268,,,.51517385,.25
