year,huc8,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,18020111,135152.5771180838,56617.36326245964,78535.21394491196,135152.5771180838,56617.36326245964,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,350.0205383300781,350.0205383300781,0,350.0205383300781,350.0205383300781,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
1994,18020111,135229.6572267264,56694.44337110221,78535.21394491196,135229.6572267264,56694.44337110221,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,427.1006469726563,427.1006469726563,0,427.1006469726563,427.1006469726563,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.84250069,.78462315,.96348149,,,.66754121,.75
1995,18020111,135124.7391969413,56589.52534131706,78535.21394491196,135124.7391969413,56589.52534131706,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,322.1826171875,322.1826171875,0,322.1826171875,322.1826171875,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.98033196,.97442567,.99269629,,,.96052313,.94999999
1996,18020111,135194.2271730155,56659.01331739128,78535.21394491196,135194.2271730155,56659.01331739128,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,391.6705932617188,391.6705932617188,0,391.6705932617188,391.6705932617188,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
1997,18020111,135189.9244996756,56654.71064405143,78535.21394491196,135189.9244996756,56654.71064405143,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,387.367919921875,387.367919921875,0,387.367919921875,387.367919921875,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.97129917,.96107084,.99269629,,,.93990844,.94999999
1998,18020111,135095.7427369803,56560.52888135612,78535.21394491196,135095.7427369803,56560.52888135612,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,293.1861572265625,293.1861572265625,0,293.1861572265625,293.1861572265625,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
1999,18020111,135215.1771547049,56679.96329908073,78535.21394491196,135215.1771547049,56679.96329908073,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,412.6205749511719,412.6205749511719,0,412.6205749511719,412.6205749511719,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.98033196,.97442567,.99269629,,,.96052313,.94999999
2000,18020111,135168.5065309256,56633.29267530143,78535.21394491196,135168.5065309256,56633.29267530143,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,365.949951171875,365.949951171875,0,365.949951171875,365.949951171875,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
2001,18020111,135120.5137635916,56585.29990796745,78535.21394491196,135120.5137635916,56585.29990796745,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,317.9571838378906,317.9571838378906,0,317.9571838378906,317.9571838378906,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,.90486473,.86985779,.97808892,,,.79911065,.85000002
2002,18020111,135202.5099488944,56667.29609327018,78535.21394491196,135202.5099488944,56667.29609327018,78535.21394491196,251742.9208833426,159773.3397695273,91969.58110237122,0,0,0,0,0,0,0,0,0,399.953369140625,399.953369140625,0,399.953369140625,399.953369140625,0,116940.3635787964,103505.9965600967,13434.36717414856,0,0,0,0,0,0,134802.5576173514,56267.34272415936,78535.21498775482,1,1,1,,,1,1
